sensor_id,timestamp,raw_latitude,raw_longitude,water_depth_cm,rate_of_rise_cm_hr,flow_velocity_mps,sensor_type,reported_severity
FL-2001,2026-09-06T08:15:00Z,51.5033,-0.1195,142.5,28.4,1.8,Culvert Sensor,CRITICAL_SURGE
FL-2002,2026-09-06T08:16:30Z,51.5042,-0.1180,128.0,22.1,1.5,Storm Drain Gauge,HIGH_RISK
FL-2003,2026-09-06T08:18:12Z,-0.1210,51.5028,155.0,34.0,2.1,Basement Sump Telemetry,CRITICAL_SURGE
FL-2004,2026-09-06T08:19:45Z,51.5055,-0.0872,110.4,18.5,1.2,Quay Level Sensor,HIGH_RISK
FL-2005,2026-09-06T08:21:00Z,51.5068,-0.0850,98.2,14.2,0.9,River Flow Monitor,MODERATE
FL-2006,2026-09-06T08:22:15Z,0.0000,0.0000,0.0,0.0,0.0,Emergency Mobile Beacon,SENSOR_TIMEOUT
FL-2007,2026-09-06T08:23:40Z,51.5305,-0.1245,135.8,26.0,1.7,Canal Overflow Weir,CRITICAL_SURGE
FL-2008,2026-09-06T08:25:10Z,51.5320,-0.1270,119.5,19.8,1.3,Rail Underpass Sensor,HIGH_RISK
FL-2009,2026-09-06T08:26:35Z,-0.1285,51.5332,148.2,31.5,1.9,Subway Vent Inflow,CRITICAL_SURGE
FL-2010,2026-09-06T08:28:00Z,51.5280,-0.1340,88.4,11.0,0.7,Road Gully Monitor,MODERATE
FL-2011,2026-09-06T08:29:20Z,0.0000,0.0000,0.0,0.0,0.0,Substation Perimeter Telemetry,HARDWARE_DROP
FL-2012,2026-09-06T08:31:05Z,51.5295,-0.1325,104.0,16.5,1.1,Basement Drainage Sensor,HIGH_RISK
FL-2013,2026-09-06T08:32:45Z,-0.1350,51.5270,122.0,21.0,1.4,Utility Trench Gauge,HIGH_RISK
FL-2014,2026-09-06T08:34:10Z,51.5150,-0.1760,78.5,8.2,0.5,Park Retention Basin,LOW_RISK
FL-2015,2026-09-06T08:35:30Z,51.5165,-0.1780,82.0,9.1,0.6,Street Runoff Monitor,LOW_RISK
FL-2016,2026-09-06T08:37:00Z,51.5075,-0.0880,115.0,17.9,1.2,Docklands Pumping Sump,HIGH_RISK
FL-2017,2026-09-06T08:38:25Z,51.5310,-0.1250,140.0,29.0,1.8,Mainline Track Sump,CRITICAL_SURGE
FL-2018,2026-09-06T08:39:50Z,-0.1170,51.5050,131.0,23.5,1.6,Bridge Abutment Sensor,CRITICAL_SURGE
FL-2019,2026-09-06T08:41:15Z,51.5020,-0.1210,112.0,15.8,1.0,Depot Drainage Pit,HIGH_RISK
FL-2020,2026-09-06T08:42:30Z,51.5080,-0.0865,102.5,13.4,0.8,Pier Outfall Gauge,MODERATE
